farsça,abıhayat,âb-ı hayât,ﺁﺏ ﺣﻴﺎﺕ,bengisu,-,
arapça,abide,âbide,ﺁﺑﺪﻩ,anıt,-,
arapça,merhaba,merhabâ,ﻣﺮﺣﺒﺎ,esenlikler,hello
x,dünya,dünyâ,‏دنيا,evren,world
fransızca,versiyon,versiyon,-,sürüm,version
arapça,isim,isim,ﺍﺳﻢ,ad,name
türkçe,gün,gün,گون,kün,day
arapça,harita,harîta,ﺧﺮﻳﻄﻪ,-,map
türkçe,kim,kim,ﻛﻴﻤ,-,who
arapça,zürriyet,zürriyet,‏ذريت,döl,-,
arapça,zulüm,zulüm,‏ظلم,ezinç/kıyıcılık,-,
arapça,ziynet,ziynet,‏زينت,bezek,-,
arapça,ziyafet,ziyâfet,‏ضيافت,şölen,-,
arapça,zirve,zirve,‏ذروه,doruk,-,
arapça,zihniyet,zihniyet,‏ذهنيت,anlayış,-,
farsça,sermaye,sermâye,ﺳﺮﻣﺎﻳﻪ,-,-,
arapça,kuvvet,kuvvet,ﻗﻮّﺕ,güç,power,
türkçe,anadolu,anadolu,آناطوٓلیٖ,anatolia,
arapça,coğrafya,coğrâfya,ﺟﻐﺮﺍﻓﻴﺎ,geography,
arapça,tarih,târîh,ﺗﺎﺭﻳﺦ,-,history,
farsça,günah,günâh,ﮔﻨﺎﻩ,-,-,
arapça,meşhur,meşhûr,ﻣﺸﻬﻮﺭ,-,-,
arapça,afet,âfet,ﺁﻓﺖ,-,-,
arapça,felaket,felâket,ﻓﻼ ﻛﺖ,-,-,
arapça,bela,belâ,ﺑﻼﺀ,-,-,
arapça,musibet,musîbet,ﻣﺼﻴﺒﺖ,-,-,
arapça,hayat,hayât,ﺣﻴﺎﺕ,yaşam,life
arapça,ahiret,âhiret,ﺁﺧﺮﺕ,-,-,
arapça,sual,suâl,سؤال,soru,-,
arapça,mana,mânâ,ﻣﻌﻨﺎ– ﻣﻌﻨﻰ,anlam,-,
arapça,ifade,ifâde,ﺍﻓﺎﺩﻩ,-,-,
arapça,işaret,işâret,ﺍﺷﺎﺭﺕ,-,-,
arapça,alamet,alâmet,ﻋﻼﻣﺖ,-,-,
arapça,emare,emâre,ﺍﻣﺎﺭﻩ,-,-,
arapça,dair,dâir,ﺩﺍﺋﺮ,-,-,
farsça,ziyan,ziyân,ﺯﻳﺎﻥ,-,-,
arapça,sahir,sâhir,ﺳﺎﻫﺮ,-,-,
arapça,sema,semâ,ﺳﻤﺎﺀ,gökyüzü,-,
arapça,ganimet,ganîmet,ﻏﻨﻴﻤﺖ,-,-,
farsça,bedava,bedâva,-,-,-,
arapça,heyula,heyûlâ,ﻫﻴﻮﻻﺀ,-,-,
arapça,gubari,gubârî,ﻏﺒﺎﺭﻯ,-,-,
arapça,maruz,mâruz,ﻣﻌﺮﻭﺽ,-,-,
farsça,padişah,pâdişâh,ﭘﺎﺩﺷﺎﻩ,-,-,
farsça,piyade,piyâde,ﭘﻴﺎﺩﻩ,-,-,
farsça,aşina,âşinâ,ﺁﺷﻨ,-,-,
farsça,payitaht,pâyitaht,ﭘﺎﻳﺘﺨﺖ,başkent,-,
arapça,kinaye,kinâye,ﻛﻨﺎﻳﻪ,-,-,
arapça,taviz,tâviz,ﺗﻌﻮﻳﺾ,-,-,
arapça,taharet,tahâret,ﻃﻬﺎﺭﺕ,-,-,
arapça,malayani,mâlâyâni,ﻣﺎﻻﻳﻌﻨﻰ,-,-,
arapça,tevafuk,tevâfuk,ﺗﻮﺍﻓﻖ,-,-,
arapça,mahir,mâhir,ﻣﺎﻫﺮ,-,-,
arapça,tekrar,tekrâr,ﺗﻜﺮﺍﺭ,-,-,
arapça,mahkum,mahkûm,ﻣﺤﻜﻮﻡ,-,-,
arapça,tasvir,tasvîr,ﺗﺼﻮﻳﺮ,-,-,
etimoloji,türkçe,imlâ,osmanlıca,öztürkçe,ingilizce